name,alias,type,rating,rating_size,positive_effects,negatives_effects,medicals_effects
Blue Dream,Bd,Hybrid,4.4,12894,"['Happy', 'Relaxed', 'Euphoric', 'Uplifted', 'Creative']","['Dry Eyes', 'Anxious', 'Dizzy', 'Paranoid']","['Depression', 'Pain', 'Fatigue', 'Headaches']"
Sour Diesel,Sd,Sativa,4.4,7434,"['Happy', 'Energetic', 'Uplifted', 'Euphoric', 'Creative']","['Dry Eyes', 'Anxious', 'Paranoid', 'Dizzy']","['Depression', 'Pain', 'Fatigue', 'Headaches']"
GSC,Gsc,Hybrid,4.5,6847,"['Happy', 'Relaxed', 'Euphoric', 'Uplifted', 'Creative']","['Dry Eyes', 'Anxious', 'Dizzy', 'Paranoid']","['Depression', 'Pain', 'Insomnia', 'Lack of Appetite']"
Green Crack,Gc,Sativa,4.4,6145,"['Energetic', 'Happy', 'Uplifted', 'Euphoric', 'Focused']","['Dry Eyes', 'Anxious', 'Paranoid', 'Dizzy']","['Depression', 'Fatigue', 'Pain', 'Headaches']"
OG Kush,Ogk,Hybrid,4.4,5015,"['Relaxed', 'Happy', 'Euphoric', 'Uplifted', 'Sleepy']","['Dry Eyes', 'Dizzy', 'Anxious', 'Paranoid']","['Depression', 'Pain', 'Insomnia', 'Lack of Appetite']"
Granddaddy Purple,Gdp,Indica,4.5,4618,"['Relaxed', 'Sleepy', 'Euphoric', 'Happy', 'Hungry']","['Dry Eyes', 'Dizzy', 'Anxious', 'Paranoid']","['Pain', 'Insomnia', 'Depression', 'Lack of Appetite']"
Jack Herer,Jh,Sativa,4.4,4152,"['Happy', 'Energetic', 'Uplifted', 'Creative', 'Euphoric']","['Dry Eyes', 'Anxious', 'Paranoid', 'Dizzy']","['Depression', 'Pain', 'Fatigue', 'Headaches']"
Original Glue,Gg4,Hybrid,4.7,3936,"['Relaxed', 'Euphoric', 'Happy', 'Uplifted', 'Sleepy']","['Dry Eyes', 'Paranoid', 'Anxious', 'Dizzy']","['Pain', 'Depression', 'Insomnia', 'Lack of Appetite']"
Blue Dream,Bd,Hybrid,4.4,12894,"['Happy', 'Relaxed', 'Euphoric', 'Uplifted', 'Creative']","['Dry Eyes', 'Anxious', 'Dizzy', 'Paranoid']","['Depression', 'Pain', 'Fatigue', 'Headaches']"
Sour Diesel,Sd,Sativa,4.4,7434,"['Happy', 'Energetic', 'Uplifted', 'Euphoric', 'Creative']","['Dry Eyes', 'Anxious', 'Paranoid', 'Dizzy']","['Depression', 'Pain', 'Fatigue', 'Headaches']"
GSC,Gsc,Hybrid,4.5,6847,"['Happy', 'Relaxed', 'Euphoric', 'Uplifted', 'Creative']","['Dry Eyes', 'Anxious', 'Dizzy', 'Paranoid']","['Depression', 'Pain', 'Insomnia', 'Lack of Appetite']"
Green Crack,Gc,Sativa,4.4,6145,"['Energetic', 'Happy', 'Uplifted', 'Euphoric', 'Focused']","['Dry Eyes', 'Anxious', 'Paranoid', 'Dizzy']","['Depression', 'Fatigue', 'Pain', 'Headaches']"
OG Kush,Ogk,Hybrid,4.4,5015,"['Relaxed', 'Happy', 'Euphoric', 'Uplifted', 'Sleepy']","['Dry Eyes', 'Dizzy', 'Anxious', 'Paranoid']","['Depression', 'Pain', 'Insomnia', 'Lack of Appetite']"
Granddaddy Purple,Gdp,Indica,4.5,4618,"['Relaxed', 'Sleepy', 'Euphoric', 'Happy', 'Hungry']","['Dry Eyes', 'Dizzy', 'Anxious', 'Paranoid']","['Pain', 'Insomnia', 'Depression', 'Lack of Appetite']"
Jack Herer,Jh,Sativa,4.4,4152,"['Happy', 'Energetic', 'Uplifted', 'Creative', 'Euphoric']","['Dry Eyes', 'Anxious', 'Paranoid', 'Dizzy']","['Depression', 'Pain', 'Fatigue', 'Headaches']"
Original Glue,Gg4,Hybrid,4.7,3936,"['Relaxed', 'Euphoric', 'Happy', 'Uplifted', 'Sleepy']","['Dry Eyes', 'Paranoid', 'Anxious', 'Dizzy']","['Pain', 'Depression', 'Insomnia', 'Lack of Appetite']"
White Widow,Ww,Hybrid,4.4,3891,"['Happy', 'Relaxed', 'Euphoric', 'Uplifted', 'Energetic']","['Dry Eyes', 'Paranoid', 'Anxious', 'Dizzy']","['Depression', 'Pain', 'Fatigue', 'Insomnia']"
Pineapple Express,Pex,Hybrid,4.4,3372,"['Happy', 'Euphoric', 'Uplifted', 'Relaxed', 'Energetic']","['Dry Eyes', 'Anxious', 'Paranoid', 'Dizzy']","['Stress', 'Pain', 'Fatigue', 'Lack of Appetite']"
Bubba Kush,Bk,Indica,4.3,3228,"['Relaxed', 'Sleepy', 'Happy', 'Euphoric', 'Hungry']","['Dry Eyes', 'Dizzy', 'Anxious', 'Paranoid']","['Pain', 'Insomnia', 'Depression', 'Lack of Appetite']"
Trainwreck,Tw,Hybrid,4.3,2822,"['Happy', 'Euphoric', 'Relaxed', 'Uplifted', 'Creative']","['Dry Eyes', 'Anxious', 'Paranoid', 'Dizzy']","['Depression', 'Pain', 'Fatigue', 'Lack of Appetite']"
